termo,definicao,fonte
Ação,"Processo movido em juízo para defesa de um direito ameaçado ou violado.","TJSP"
Acordo,"Ajuste instituído entre duas ou mais pessoas, que se acertam em estabelecê-lo. Composição amigável.","TJSP"
Ajuizar,"Ingressar com uma ação na Justiça para buscar a solução de um conflito de interesses.","TJSP"
Audiência de conciliação,"Audiência em que a lei permite o acordo.","TJSP"
Audiência de instrução e julgamento,"Momento em que o juiz recebe as partes para tentar conciliação, ouvir testemunhas, examinar documentos e, em alguns casos, decidir.","TJSP"
Causa,"O mesmo que Ação.","TJSP"
Conciliação,"Acordo amigável.","TJSP"
Conciliador,"Profissional que busca promover a conciliação entre as partes.","TJSP"
Consenso,"Acordo, concordância, aprovação.","TJSP"
Contestação,"Defesa do réu contra pretensões do autor.","TJSP"
Contraditório,"Direito constitucional de ampla defesa e participação no processo.","TJSP"
Contrato,"Ajuste, convenção, pacto, transação.","TJSP"
Contravenção penal,"Infração punida com prisão simples ou multa.","TJSP"
Crime,"Fato proibido por lei sob ameaça de pena.","TJSP"
Custas processuais,"Despesas e encargos de um processo.","TJSP"
Dano,"Prejuízo ou deterioração de coisa alheia.","TJSP"
Dano moral,"Violação de bens de ordem moral, como honra, liberdade ou imagem.","TJSP"
Decisão,"Ato pelo qual o juiz resolve questões processuais.","TJSP"
Defensor Público,"Advogado nomeado pelo Estado para defender pessoas sem recursos.","TJSP"
Deferir,"Conceder o que foi solicitado.","TJSP"
Demanda,"Ação em curso.","TJSP"
Empresa de pequeno porte,"Empresa com receita anual superior a R$ 360.000,00 e inferior a R$ 3.600.000,00.","TJSP"
Execução,"Cumprimento de sentença, com constrangimento ao devedor para pagamento.","TJSP"
Extinção do processo,"Fim da ação, encerrando sua tramitação.","TJSP"
Firma individual,"Nome comercial utilizado individualmente por pessoa física.","TJSP"
Incapaz,"Pessoa sem capacidade para exercer direitos sozinha.","TJSP"
Indenização,"Compensação monetária para ressarcimento de danos.","TJSP"
Insolvente civil,"Pessoa com dívidas superiores ao total de bens.","TJSP"
Instrução,"Atos destinados ao esclarecimento do processo antes do julgamento.","TJSP"
Interrogatório,"Perguntas feitas pelo juiz ao acusado.","TJSP"
Intimação,"Notificação às partes sobre atos processuais.","TJSP"
Juiz de Direito,"Magistrado de carreira que ingressa por concurso público.","TJSP"
Julgamento,"Ato de decisão de uma causa.","TJSP"
Lide,"Questão judicial discutida pelas partes.","TJSP"
Litígio,"Demanda contestada judicialmente.","TJSP"
Massa falida,"Conjunto de bens e obrigações da empresa falida.","TJSP"
Microempresa,"Empresa com receita anual até R$ 360.000,00.","TJSP"
Parte,"Pessoa que ajuíza ou responde a ação.","TJSP"
Pena,"Imposição de castigo por falta cometida.","TJSP"
Pessoa capaz,"Pessoa que pode exercer direitos e assumir obrigações.","TJSP"
Pessoa física,"Ser humano como sujeito de direitos.","TJSP"
Pessoa jurídica,"Entidade reconhecida pela lei com personalidade jurídica.","TJSP"
Preparo,"Pagamento de despesas judiciais para viabilizar recurso.","TJSP"
Prescrição,"Extinção do direito de punir pelo decurso do tempo.","TJSP"
Proferir,"Tornar pública a decisão judicial.","TJSP"
Promotor de Justiça,"Membro do Ministério Público responsável pela ação penal.","TJSP"
Proporção,"O mesmo que ajuizar.","TJSP"
Prova,"Meio de demonstrar fatos ao juiz.","TJSP"
Reclamação,"Ajuizamento de ação no Juizado Especial.","TJSP"
Recurso,"Meio para contestar decisão judicial.","TJSP"
Reincidência,"Cometimento de novo crime.","TJSP"
Réu,"Pessoa contra quem se move ação.","TJSP"
Revelia,"Ausência de defesa pelo réu regularmente citado.","TJSP"
Sentença,"Decisão final que encerra a controvérsia.","TJSP"
Suspensão do processo,"Paralisação do processo até evento que determine prosseguimento.","TJSP"
Transação penal,"Finalização do processo por concessões mútuas entre as partes.","TJSP"
